Time of test;test type;file size[kB];time[ms];transfer media;test name
Tue Apr 24 21:06:51 CEST 2018;server read;1000;5;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;1;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;0;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;1;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;1;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;4;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;6;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;6;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;3;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;0;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;1;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;3;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;12;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;4;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;1;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;2;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;3;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;0;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;2;local net;a
